"module_name","gate_counts","area_math","total_area","delay_math","total_delay","static_power_math","total_static_power"
"calculator","1 a2111o_1, 1 a2111oi_0, 3 a211o_1, 2 a211oi_1, 5 a21o_1, 18 a21oi_1, 1 a221oi_1, 1 a22o_1, 7 a22oi_1, 1 a2bb2oi_1, 1 a311oi_1, 1 a31o_1, 5 a31oi_1, 1 a32oi_1, 4 and2_0, 4 and3_1, 1 and3b_1, 14 clkinv_1, 8 dfxtp_1, 16 maj3_1, 2 mux2_1, 5 mux2i_1, 45 nand2_1, 9 nand2b_1, 10 nand3_1, 3 nand4_1, 1 nand4b_1, 38 nor2_1, 7 nor2b_1, 8 nor3_1, 1 nor3b_1, 2 nor4_1, 1 nor4b_1, 7 o211ai_1, 10 o21a_1, 21 o21ai_0, 1 o21ba_1, 1 o21bai_1, 1 o221a_1, 1 o221ai_1, 2 o22a_1, 4 o22ai_1, 3 o31ai_1, 2 o32ai_1, 2 o41ai_1, 4 or2_0, 4 or3_1, 1 or3b_1, 1 or4_1, 61 xnor2_1, 2 xnor3_1, 23 xor2_1","1*11.26 + 1*8.76 + 3*8.76 + 2*7.51 + 5*7.51 + 18*5.0 + 1*8.76 + 1*8.76 + 7*7.51 + 1*8.76 + 1*8.76 + 1*8.76 + 5*6.26 + 1*8.76 + 4*6.26 + 4*6.26 + 1*8.76 + 14*3.75 + 8*20.02 + 16*10.01 + 2*11.26 + 5*10.01 + 45*3.75 + 9*6.26 + 10*5.0 + 3*6.26 + 1*8.76 + 38*3.75 + 7*6.26 + 8*5.0 + 1*7.51 + 2*6.26 + 1*8.76 + 7*7.51 + 10*7.51 + 21*5.0 + 1*10.01 + 1*7.51 + 1*11.26 + 1*8.76 + 2*8.76 + 4*6.26 + 3*7.51 + 2*8.76 + 2*8.76 + 4*6.26 + 4*6.26 + 1*8.76 + 1*7.51 + 61*8.76 + 2*22.52 + 23*8.76",2604.84,"0.6 + 0.28 + 0.38 + 0.27 + 0.15 + 0.19 + 0.43 + 0.4 + 0.47 + 0.34 + 0.18 + 0.11 + 0.3 + 0.27 + 0.23 + 0.37 + 0.39 + 0.4 + 0.29 + 0.24 + 0.29 + 0.21 + 0.14 + 0.39 + 0.41 + 0.45 + 0.14 + 0.21 + 0.32 + 0.11 + 0.16 + 0.08 + 0.17",9.37,"1*1.68 + 1*0.42 + 3*3.14 + 2*0.98 + 5*5.9 + 18*1.65 + 1*1.78 + 1*4.06 + 7*2.58 + 1*3.38 + 1*0.97 + 1*2.37 + 5*1.48 + 1*1.25 + 4*1.92 + 4*5.59 + 1*7.06 + 14*1.57 + 8*8.44 + 16*2.09 + 2*4.03 + 5*5.89 + 45*2.12 + 9*2.25 + 10*1.03 + 3*0.53 + 1*1.03 + 38*1.97 + 7*2.18 + 8*0.93 + 1*1.3 + 2*0.5 + 1*0.91 + 7*0.7 + 10*2.21 + 21*1.04 + 1*7.27 + 1*2.87 + 1*2.73 + 1*1.09 + 2*2.76 + 4*1.31 + 3*1.7 + 2*1.09 + 2*1.39 + 4*1.26 + 4*1.28 + 1*2.59 + 1*0.85 + 61*2.07 + 2*15.62 + 23*4.28",892.01
"seq_detector","1 and4b_1, 5 dfxtp_1","1*10.01 + 5*20.02",110.11,"0.29 + 0.17",0.46,"1*5.99 + 5*8.44",48.19
"synchronizer","3 and2_0, 4 dfxtp_1, 1 nand2_1, 1 nand3_1, 2 nor2_1","3*6.26 + 4*20.02 + 1*3.75 + 1*5.0 + 2*3.75",115.11,"0.27 + 0.11",0.38,"3*1.92 + 4*8.44 + 1*2.12 + 1*1.03 + 2*1.97",46.61
"dff_set","1 dfstp_2","1*26.28",26.28,"0.47",0.47,"1*10.52",10.52
"omsp_sync_cell","2 clkinv_1, 2 dfrtp_1","2*3.75 + 2*25.02",57.54,"0.33",0.33,"2*1.57 + 2*11.65",26.44
"ram","40 a211o_1, 113 a211oi_1, 6 a21boi_0, 45 a21o_1, 2358 a21oi_1, 99 a221o_1, 401 a221oi_1, 35 a22o_1, 181 a22oi_1, 11 a2bb2oi_1, 65 a311o_1, 174 a311oi_1, 30 a31o_1, 351 a31oi_1, 24 a32o_1, 66 a32oi_1, 14 and2_0, 72 and3_1, 2 and3b_1, 197 clkinv_1, 65568 dfxtp_1, 65429 mux2_1, 1508 mux2i_1, 15939 mux4_2, 2188 nand2_1, 91 nand2b_1, 644 nand3_1, 6 nand3b_1, 8040 nor2_1, 132 nor2b_1, 101 nor3_1, 3 nor3b_1, 49 o211a_1, 398 o211ai_1, 97 o21a_1, 6728 o21ai_0, 29 o21bai_1, 151 o221a_1, 2479 o221ai_1, 19 o22a_1, 550 o22ai_1, 8 o2bb2ai_1, 58 o311a_1, 121 o311ai_0, 17 o31a_1, 114 o31ai_1, 9 o32a_1, 47 o32ai_1, 66 or2_0, 17 or3_1, 4 or3b_1","40*8.76 + 113*7.51 + 6*7.51 + 45*7.51 + 2358*5.0 + 99*10.01 + 401*8.76 + 35*8.76 + 181*7.51 + 11*8.76 + 65*10.01 + 174*8.76 + 30*8.76 + 351*6.26 + 24*10.01 + 66*8.76 + 14*6.26 + 72*6.26 + 2*8.76 + 197*3.75 + 65568*20.02 + 65429*11.26 + 1508*10.01 + 15939*22.52 + 2188*3.75 + 91*6.26 + 644*5.0 + 6*7.51 + 8040*3.75 + 132*6.26 + 101*5.0 + 3*7.51 + 49*10.01 + 398*7.51 + 97*7.51 + 6728*5.0 + 29*7.51 + 151*11.26 + 2479*8.76 + 19*8.76 + 550*6.26 + 8*8.76 + 58*10.01 + 121*8.76 + 17*8.76 + 114*7.51 + 9*10.01 + 47*8.76 + 66*6.26 + 17*6.26 + 4*8.76",2562236.45,"79.71 + 41.69 + 0.97 + 0.91 + 1.13 + 0.21 + 0.06 + 0.48 + 0.29",125.45,"40*3.14 + 113*0.98 + 6*2.48 + 45*5.9 + 2358*1.65 + 99*2.66 + 401*1.78 + 35*4.06 + 181*2.58 + 11*3.38 + 65*1.57 + 174*0.97 + 30*2.37 + 351*1.48 + 24*2.3 + 66*1.25 + 14*1.92 + 72*5.59 + 2*7.06 + 197*1.57 + 65568*8.44 + 65429*4.03 + 1508*5.89 + 15939*6.37 + 2188*2.12 + 91*2.25 + 644*1.03 + 6*1.4 + 8040*1.97 + 132*2.18 + 101*0.93 + 3*1.3 + 49*10.66 + 398*0.7 + 97*2.21 + 6728*1.04 + 29*2.87 + 151*2.73 + 2479*1.09 + 19*2.76 + 550*1.31 + 8*1.85 + 58*3.77 + 121*0.64 + 17*2.07 + 114*1.7 + 9*1.66 + 47*1.09 + 66*1.26 + 17*1.28 + 4*2.59",969712.72
"sky130_fd_sc_ms__o311ai","1 o311ai_0","1*8.76",8.76,"0.2",0.2,"1*0.64",0.64
"L_sel","1 and2_0, 1 buf_1, 2 clkinv_1, 2 conb_1, 1 nor2b_1","1*6.26 + 1*3.75 + 2*3.75 + 2*3.75 + 1*6.26",31.27,"0.1",0.1,"1*1.92 + 1*1.18 + 2*1.57 + 2*3.24 + 1*2.18",14.9
"sync_gray","4 and2_0, 4 dfxtp_1","4*6.26 + 4*20.02",105.12,"0.12",0.12,"4*1.92 + 4*8.44",41.44
"addition_module","1 nand2_1, 1 xnor2_1, 2 xor2_1","1*3.75 + 1*8.76 + 2*8.76",30.03,"0.15 + 0.11",0.26,"1*2.12 + 1*2.07 + 2*4.28",12.75
"ir_rcv","1 a21boi_0, 78 a21oi_1, 1 a221o_1, 1 a221oi_1, 16 a22o_1, 2 a22oi_1, 1 a311oi_1, 5 a31oi_1, 2 a41oi_1, 9 and2_0, 26 and3_1, 13 and4_1, 1 and4b_1, 10 clkinv_1, 141 dfrtp_1, 1 mux2i_1, 27 nand2_1, 4 nand2b_1, 8 nand3_1, 9 nand4_1, 2 nand4b_1, 101 nor2_1, 1 nor2b_1, 47 nor3_1, 1 nor3b_1, 17 nor4_1, 1 nor4b_1, 1 nor4bb_1, 1 o2111a_1, 1 o211ai_1, 7 o21a_1, 36 o21ai_0, 1 o22ai_1, 3 o31a_1, 1 o31ai_1, 1 o32ai_1, 1 o41a_1, 1 o41ai_1, 3 or3_1, 5 or4_1, 14 xnor2_1, 10 xor2_1","1*7.51 + 78*5.0 + 1*10.01 + 1*8.76 + 16*8.76 + 2*7.51 + 1*8.76 + 5*6.26 + 2*8.76 + 9*6.26 + 26*6.26 + 13*8.76 + 1*10.01 + 10*3.75 + 141*25.02 + 1*10.01 + 27*3.75 + 4*6.26 + 8*5.0 + 9*6.26 + 2*8.76 + 101*3.75 + 1*6.26 + 47*5.0 + 1*7.51 + 17*6.26 + 1*8.76 + 1*10.01 + 1*11.26 + 1*7.51 + 7*7.51 + 36*5.0 + 1*6.26 + 3*8.76 + 1*7.51 + 1*8.76 + 1*11.26 + 1*8.76 + 3*6.26 + 5*7.51 + 14*8.76 + 10*8.76",6126.96,"0.37 + 0.12 + 0.25 + 0.07 + 1.43 + 0.53 + 0.32",3.09,"1*2.48 + 78*1.65 + 1*2.66 + 1*1.78 + 16*4.06 + 2*2.58 + 1*0.97 + 5*1.48 + 2*1.36 + 9*1.92 + 26*5.59 + 13*3.4 + 1*5.99 + 10*1.57 + 141*11.65 + 1*5.89 + 27*2.12 + 4*2.25 + 8*1.03 + 9*0.53 + 2*1.03 + 101*1.97 + 1*2.18 + 47*0.93 + 1*1.3 + 17*0.5 + 1*0.91 + 1*3.2 + 1*3.75 + 1*0.7 + 7*2.21 + 36*1.04 + 1*1.31 + 3*2.07 + 1*1.7 + 1*1.09 + 1*1.37 + 1*1.39 + 3*1.28 + 5*0.85 + 14*2.07 + 10*4.28",2584.26
"var11_multi","1 a2111oi_0, 3 a211o_1, 1 a211oi_1, 1 a21boi_0, 4 a21o_1, 16 a21oi_1, 1 a311oi_1, 2 a31oi_1, 1 a32o_1, 5 and2_0, 4 and3_1, 1 and3b_1, 9 clkinv_1, 4 maj3_1, 5 mux2i_1, 23 nand2_1, 4 nand2b_1, 4 nand3_1, 1 nand3b_1, 15 nor2_1, 2 nor2b_1, 3 nor3_1, 1 nor4_1, 1 nor4b_1, 1 o2111a_1, 1 o211a_1, 3 o211ai_1, 1 o21a_1, 11 o21ai_0, 1 o21bai_1, 1 o22a_1, 3 o22ai_1, 1 o31a_1, 1 o31ai_1, 4 or2_0, 2 or3_1, 29 xnor2_1, 8 xnor3_1, 13 xor2_1, 1 xor3_1","1*8.76 + 3*8.76 + 1*7.51 + 1*7.51 + 4*7.51 + 16*5.0 + 1*8.76 + 2*6.26 + 1*10.01 + 5*6.26 + 4*6.26 + 1*8.76 + 9*3.75 + 4*10.01 + 5*10.01 + 23*3.75 + 4*6.26 + 4*5.0 + 1*7.51 + 15*3.75 + 2*6.26 + 3*5.0 + 1*6.26 + 1*8.76 + 1*11.26 + 1*10.01 + 3*7.51 + 1*7.51 + 11*5.0 + 1*7.51 + 1*8.76 + 3*6.26 + 1*8.76 + 1*7.51 + 4*6.26 + 2*6.26 + 29*8.76 + 8*22.52 + 13*8.76 + 1*23.77",1384.96,"0.38 + 0.16 + 0.35 + 0.33 + 0.15 + 0.2 + 0.25 + 0.24 + 0.11 + 0.38 + 0.08",2.63,"1*0.42 + 3*3.14 + 1*0.98 + 1*2.48 + 4*5.9 + 16*1.65 + 1*0.97 + 2*1.48 + 1*2.3 + 5*1.92 + 4*5.59 + 1*7.06 + 9*1.57 + 4*2.09 + 5*5.89 + 23*2.12 + 4*2.25 + 4*1.03 + 1*1.4 + 15*1.97 + 2*2.18 + 3*0.93 + 1*0.5 + 1*0.91 + 1*3.75 + 1*10.66 + 3*0.7 + 1*2.21 + 11*1.04 + 1*2.87 + 1*2.76 + 3*1.31 + 1*2.07 + 1*1.7 + 4*1.26 + 2*1.28 + 29*2.07 + 8*15.62 + 13*4.28 + 1*15.22",568.82
"sky130_fd_sc_hd__lpflow_clkinvkapwr","1 clkinv_1","1*3.75",3.75,"0.02",0.02,"1*1.57",1.57
"mkRouterOutputArbitersStatic","5 nand2b_1, 5 nor2b_1, 5 nor3b_1, 5 nor4_1, 5 nor4b_1","5*6.26 + 5*6.26 + 5*7.51 + 5*6.26 + 5*8.76",175.25,"0.11 + 0.08",0.19,"5*2.25 + 5*2.18 + 5*1.3 + 5*0.5 + 5*0.91",35.7
"top_module","1 a21oi_1, 8 and2_0, 1 and3b_1, 3 clkinv_1, 1 conb_1, 1 dfxtp_1, 16 dlxtp_1, 4 mux4_2, 1 nor2_1, 1 nor3b_1, 1 nor4_1, 1 nor4b_1, 1 o21ai_0, 1 o31a_1","1*5.0 + 8*6.26 + 1*8.76 + 3*3.75 + 1*3.75 + 1*20.02 + 16*15.01 + 4*22.52 + 1*3.75 + 1*7.51 + 1*6.26 + 1*8.76 + 1*5.0 + 1*8.76",469.14,"0.45 + 0.18 + 0.24",0.87,"1*1.65 + 8*1.92 + 1*7.06 + 3*1.57 + 1*3.24 + 1*8.44 + 16*7.93 + 4*6.37 + 1*1.97 + 1*1.3 + 1*0.5 + 1*0.91 + 1*1.04 + 1*2.07",200.61
"full_adder","1 maj3_1, 1 xor3_1","1*10.01 + 1*23.77",33.78,"0.33",0.33,"1*2.09 + 1*15.22",17.31
"LFSR","16 dfxtp_1, 16 mux2_1, 2 xnor2_1, 1 xor2_1","16*20.02 + 16*11.26 + 2*8.76 + 1*8.76",526.76,"0.29 + 0.16 + 0.11 + 0.27",0.83,"16*8.44 + 16*4.03 + 2*2.07 + 1*4.28",207.94
"calculator","2 a21boi_0, 5 a21oi_1, 1 a22oi_1, 2 a31oi_1, 1 a32o_1, 1 a41oi_1, 3 clkinv_1, 4 dfxtp_1, 4 maj3_1, 13 nand2_1, 5 nand2b_1, 2 nand4_1, 7 nor2_1, 1 nor2b_1, 3 nor3_1, 1 nor3b_1, 1 o21a_1, 3 o21ai_0, 2 o21bai_1, 1 o221ai_1, 2 o22ai_1, 1 o31a_1, 1 o31ai_1, 1 o32a_1, 2 or3_1, 14 xnor2_1, 6 xor2_1","2*7.51 + 5*5.0 + 1*7.51 + 2*6.26 + 1*10.01 + 1*8.76 + 3*3.75 + 4*20.02 + 4*10.01 + 13*3.75 + 5*6.26 + 2*6.26 + 7*3.75 + 1*6.26 + 3*5.0 + 1*7.51 + 1*7.51 + 3*5.0 + 2*7.51 + 1*8.76 + 2*6.26 + 1*8.76 + 1*7.51 + 1*10.01 + 2*6.26 + 14*8.76 + 6*8.76",630.59,"0.11 + 0.24 + 0.19 + 0.39 + 0.43 + 0.36 + 0.24 + 0.1 + 0.08 + 0.1",2.24,"2*2.48 + 5*1.65 + 1*2.58 + 2*1.48 + 1*2.3 + 1*1.36 + 3*1.57 + 4*8.44 + 4*2.09 + 13*2.12 + 5*2.25 + 2*0.53 + 7*1.97 + 1*2.18 + 3*0.93 + 1*1.3 + 1*2.21 + 3*1.04 + 2*2.87 + 1*1.09 + 2*1.31 + 1*2.07 + 1*1.7 + 1*1.66 + 2*1.28 + 14*2.07 + 6*4.28",206.6
